0,0,0
0,0,0
0.0515047,-0.0131294,0.0323455
0.0990399,-0.0274058,0.0621982
0.148735,-0.0446906,0.0934075
0.196343,-0.0634144,0.123305
0.246241,-0.0854182,0.154642
0.295149,-0.109271,0.185357
0.34343,-0.135044,0.215678
0.392254,-0.163385,0.24634
0.441893,-0.194554,0.277514
0.491596,-0.228123,0.308728
0.541239,-0.264006,0.339904
0.592752,-0.303775,0.372255
0.642665,-0.34469,0.403601
0.696881,-0.391941,0.437649
0.751374,-0.44227,0.471871
0.804843,-0.494384,0.50545
0.858175,-0.549083,0.538943
0.912776,-0.607932,0.573234
0.966481,-0.66857,0.606961
1.02304,-0.735487,0.64248
1.0756,-0.800309,0.675487
1.13054,-0.870955,0.709991
1.18416,-0.942647,0.743664
1.23836,-1.01792,0.777702
1.28976,-1.09184,0.809984
1.34415,-1.17288,0.844142
1.39666,-1.25375,0.87712
1.45215,-1.34215,0.911967
1.50516,-1.42928,0.945256
1.56053,-1.52323,0.980031
1.61388,-1.61646,1.01353
1.66765,-1.71321,1.04731
1.72101,-1.81192,1.08082
1.77711,-1.9187,1.11604
1.83158,-2.02524,1.15025
