0,0,0
23.0125,1.0849,0.527028
45.9622,2.18454,5.24845
68.0843,3.29913,14.1587
88.6139,4.42887,27.1128
106.812,5.57397,43.8259
121.989,6.73463,63.878
133.533,7.91106,86.7228
140.93,9.10349,111.702
143.785,10.3121,138.061
141.841,11.5372,164.976
134.99,12.7789,191.571
123.286,14.0375,216.952
106.942,15.3132,240.232
86.336,16.6062,260.563
62.0009,17.9168,277.164
34.6118,19.2452,289.353
4.96944,20.5917,296.565
-26.0219,21.9564,298.386
-57.3809,23.3398,294.563
-88.0794,24.7419,285.023
-117.075,26.1631,269.88
-143.343,27.6036,249.437
-165.917,29.0636,224.187
-183.915,30.5436,194.797
-196.579,32.0436,162.097
-203.299,33.564,127.055
-203.644,35.1051,90.753
-197.376,36.6671,54.351
-184.471,38.2504,19.054
-165.123,39.8552,-13.9276
-139.749,41.4818,-43.4174
-108.979,43.1305,-68.314
-73.6452,44.8016,-87.6299
-34.7597,46.4954,-100.528
6.5111,48.2123,-106.356
48.881,49.9524,-104.672
90.9822,51.7163,-95.2693
131.408,53.5041,-78.1906
168.759,55.3162,-53.7343
201.688,57.1529,-22.4545
228.947,59.0146,14.8489
249.436,60.9016,57.1479
262.238,62.8143,103.213
266.661,64.7529,151.646
262.267,66.7179,200.924
248.896,68.7096,249.44
226.679,70.7284,295.558
196.047,72.7746,337.665
157.725,74.8486,374.225
112.717,76.9508,403.833
62.2845,79.0816,425.266
7.91378,81.2413,437.531
-48.728,83.4304,439.904
-105.84,85.6493,431.964
-161.545,87.8983,413.619
-213.946,90.1778,385.119
-261.192,92.4884,347.059
-301.537,94.8304,300.372
-333.406,97.2042,246.31
-355.451,99.6102,186.412
-366.603,102.049,122.464
-366.119,104.521,56.448
-353.614,107.026,-9.51762
-329.091,109.566,-73.2438
-292.953,112.14,-132.54
-245.999,114.749,-185.289
-189.415,117.394,-229.518
-124.751,120.074,-263.467
-53.8717,122.791,-285.661
21.083,125.545,-294.962
97.7676,128.336,-290.621
173.699,131.165,-272.316
246.332,134.033,-240.18
313.149,136.939,-194.806
371.735,139.886,-137.248
419.868,142.872,-68.9992
455.597,145.898,8.04113
477.316,148.966,91.6176
483.829,152.076,179.182
474.405,155.228,267.966
448.814,158.423,355.069
407.358,161.661,437.546
350.873,164.943,512.506
280.723,168.269,577.211
198.771,171.641,629.168
107.333,175.059,666.225
9.11957,178.523,686.65
-92.8422,182.035,689.203
-195.3,185.594,673.198
-294.875,189.201,638.538
-388.169,192.858,585.744
-471.88,196.564,515.953
-542.909,200.32,430.907
-598.478,204.128,332.91
-636.223,207.987,224.775
-654.295,211.899,109.743
-651.435,215.864,-8.60409
-627.033,219.883,-126.457
-581.176,223.956,-239.894
-514.663,228.085,-345.007
-429.006,232.27,-438.035
-326.402,236.512,-515.491
-209.682,240.811,-574.286
-82.2422,245.169,-611.848
52.0542,249.586,-626.222
188.987,254.063,-616.156
324.107,258.601,-581.168
452.878,263.201,-521.585
570.821,267.863,-438.558
673.668,272.589,-334.057
757.508,277.379,-210.828
818.93,282.233,-72.3289
855.152,287.154,77.3609
864.137,292.142,233.655
844.679,297.198,391.596
796.477,302.322,546.007
720.172,307.516,691.655
617.359,312.78,823.424
490.563,318.116,936.49
343.187,323.525,1026.49
179.43,329.007,1089.67
4.17325,334.564,1123.05
-177.16,340.196,1124.54
-358.765,345.905,1093.03
-534.635,351.691,1028.48
-698.757,357.556,931.921
-845.306,363.5,805.502
-968.847,369.526,652.421
